,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
11,133.00044894218445,0.28209996223449707,0.19119560718536377,0.0016385316848754883,3,0,1,"{'max_depth': 3, 'reg_alpha': 0, 'reg_lambda': 1}",0.37328,0.3676,0.37044,0.002840000000000009,39
12,134.38136434555054,0.9275095462799072,0.2012171745300293,0.005852937698364258,3,0.5,0,"{'max_depth': 3, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.37264,0.3688,0.37072000000000005,0.001920000000000005,37
13,134.52116751670837,0.014714479446411133,0.1986069679260254,0.005072116851806641,3,0.5,0.5,"{'max_depth': 3, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37264,0.37232,0.37248000000000003,0.00016000000000002124,22
14,134.3109096288681,1.0360454320907593,0.19681084156036377,0.0002168416976928711,3,0.5,1,"{'max_depth': 3, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.37384,0.37232,0.37307999999999997,0.0007600000000000107,19
15,134.4955186843872,0.2990715503692627,0.20483732223510742,0.011060476303100586,3,1,0,"{'max_depth': 3, 'reg_alpha': 1, 'reg_lambda': 0}",0.37368,0.3732,0.37344,0.00024000000000001798,17
16,132.38948953151703,0.30513131618499756,0.2001093626022339,0.0030182600021362305,3,1,0.5,"{'max_depth': 3, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.37488,0.37336,0.37412,0.0007599999999999829,14
17,130.94455909729004,0.7001321315765381,0.20224785804748535,0.0007569789886474609,3,1,1,"{'max_depth': 3, 'reg_alpha': 1, 'reg_lambda': 1}",0.3732,0.37144,0.37232,0.0008799999999999919,24
18,168.76980352401733,1.3971405029296875,0.22002410888671875,0.004812955856323242,4,0,0,"{'max_depth': 4, 'reg_alpha': 0, 'reg_lambda': 0}",0.36584,0.36128,0.36356,0.0022800000000000042,52
19,164.85301506519318,0.1673809289932251,0.22519350051879883,0.0054967403411865234,4,0,0.5,"{'max_depth': 4, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.37576,0.36672,0.37124,0.004519999999999996,32
20,164.07565355300903,0.4356226921081543,0.2249089479446411,0.0030399560928344727,4,0,1,"{'max_depth': 4, 'reg_alpha': 0, 'reg_lambda': 1}",0.37272,0.37016,0.37144,0.0012800000000000034,30
21,164.32862150669098,0.09196054935455322,0.2315744161605835,0.004551529884338379,4,0.5,0,"{'max_depth': 4, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.37592,0.36856,0.37224,0.003679999999999989,25
22,163.9733499288559,0.20129501819610596,0.2300029993057251,0.002886176109313965,4,0.5,0.5,"{'max_depth': 4, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37328,0.37648,0.37488,0.0015999999999999903,10
23,162.6913355588913,0.42405951023101807,0.2328319549560547,0.003635883331298828,4,0.5,1,"{'max_depth': 4, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.38032,0.37216,0.37624,0.00408,4
24,162.64581108093262,0.3365030288696289,0.2501927614212036,0.0003629922866821289,4,1,0,"{'max_depth': 4, 'reg_alpha': 1, 'reg_lambda': 0}",0.37384,0.37232,0.37307999999999997,0.0007600000000000107,19
25,162.05612707138062,0.2901890277862549,0.2387709617614746,0.005129098892211914,4,1,0.5,"{'max_depth': 4, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.3788,0.372,0.3754,0.003400000000000014,7
26,162.6488846540451,0.30416858196258545,0.24394690990447998,0.00462186336517334,4,1,1,"{'max_depth': 4, 'reg_alpha': 1, 'reg_lambda': 1}",0.37856,0.376,0.37728,0.0012800000000000034,3
27,199.5444563627243,0.6412585973739624,0.2662088871002197,0.006757974624633789,5,0,0,"{'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.36376,0.3628,0.36328,0.00047999999999998044,53
28,200.0048769712448,0.4225050210952759,0.2679785490036011,0.006365418434143066,5,0,0.5,"{'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.36864,0.37136,0.37,0.00136,41
29,200.03402948379517,0.32503652572631836,0.2753283977508545,0.0014655590057373047,5,0,1,"{'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 1}",0.37192,0.37208,0.372,8.00000000000245e-05,28
30,201.54438090324402,0.2667109966278076,0.2720940113067627,0.0035400390625,5,0.5,0,"{'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.37376,0.36888,0.37132,0.0024399999999999977,31
31,200.7206163406372,0.05325055122375488,0.2686910629272461,0.008458852767944336,5,0.5,0.5,"{'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.37256,0.36952,0.37104000000000004,0.0015199999999999936,33
32,199.56183350086212,0.8942943811416626,0.280154824256897,0.0024529695510864258,5,0.5,1,"{'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.3724,0.37344,0.37292000000000003,0.0005199999999999927,21
33,200.26220405101776,0.3802379369735718,0.2908189296722412,0.004754066467285156,5,1,0,"{'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 0}",0.37472,0.37264,0.37368,0.0010399999999999854,16
34,199.94591581821442,0.871508002281189,0.28090059757232666,0.006006598472595215,5,1,0.5,"{'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.37776,0.37288,0.37532,0.0024399999999999977,8
